id,name,card_type,mana,colors,oracle_text,power,toughness,is_commander,is_partner,token_pools,starting_pile,image,background_image,background_color,back_image
7b05925b-ac8f-4ca5-9c9d-5e4e408c9f1d,Invisible Force Field,Instant,{1}{W},White,"Up to four target permanents you control gain indestructible until end of turn.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)",,,false,false,,deck,https://cards.scryfall.io/normal/front/7/b/7b05925b-ac8f-4ca5-9c9d-5e4e408c9f1d.jpg,https://storage.googleapis.com/archidekt-card-images/msc/64307a48-6e47-49b3-bfe0-c9d8d7226650_art_crop.jpg,#101828,
35521ad2-f701-48d6-8686-537ef1f079da,Fantastic Elasticity,Sorcery,{2}{U},Blue,"Choose one —
• Return target nonland permanent to its owner's hand.
• Return target instant or sorcery card from your graveyard to your hand.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)",,,false,false,,deck,https://cards.scryfall.io/normal/front/3/5/35521ad2-f701-48d6-8686-537ef1f079da.jpg,https://storage.googleapis.com/archidekt-card-images/msc/64307a48-6e47-49b3-bfe0-c9d8d7226650_art_crop.jpg,#101828,
e273f4e6-4691-4cb3-89e2-9b1ab45a2bc0,"Lockjaw, Slobbering Teleporter",Creature,{1}{U},Blue,"Vigilance
At the beginning of combat on your turn, if you've cast a noncreature spell this turn, put a +1/+1 counter on Lockjaw. When you do, Lockjaw and up to one other target creature you control can't be blocked this turn.",1,1,false,false,,deck,https://cards.scryfall.io/normal/front/e/2/e273f4e6-4691-4cb3-89e2-9b1ab45a2bc0.jpg,https://storage.googleapis.com/archidekt-card-images/msc/64307a48-6e47-49b3-bfe0-c9d8d7226650_art_crop.jpg,#101828,
5e0c357b-c5e8-4082-b1ec-85d40d10524c,"Valeria Richards, Precocious",Creature,{3}{U},Blue,"Noncreature spells you cast cost {1} less to cast.
Whenever you cast your first noncreature spell each turn, draw a card.",3,3,false,false,,deck,https://cards.scryfall.io/normal/front/5/e/5e0c357b-c5e8-4082-b1ec-85d40d10524c.jpg,https://storage.googleapis.com/archidekt-card-images/msc/64307a48-6e47-49b3-bfe0-c9d8d7226650_art_crop.jpg,#101828,
3db94749-340c-4454-a15d-ba6353e0c4a4,"Alicia Masters, Skilled Sculptor",Creature,{1}{R},Red,"At the beginning of combat on your turn, if you've cast a noncreature spell this turn, create a Treasure token.
Sense the Good — At the beginning of your end step, each player gains control of all creatures they own.",0,4,false,false,,deck,https://cards.scryfall.io/normal/front/3/d/3db94749-340c-4454-a15d-ba6353e0c4a4.jpg,https://storage.googleapis.com/archidekt-card-images/msc/64307a48-6e47-49b3-bfe0-c9d8d7226650_art_crop.jpg,#101828,
7030f86d-d7e7-444d-9ed0-1758260926ed,Flame On!,Sorcery,{4}{R},Red,"Put X +1/+1 counters on target creature, where X is the number of noncreature, nonland cards in your graveyard. It gains flying until end of turn.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)",,,false,false,,deck,https://cards.scryfall.io/normal/front/7/0/7030f86d-d7e7-444d-9ed0-1758260926ed.jpg,https://storage.googleapis.com/archidekt-card-images/msc/64307a48-6e47-49b3-bfe0-c9d8d7226650_art_crop.jpg,#101828,
0957b296-c34d-4193-9fe7-a339533ac121,"Franklin Richards, Ascendant",Creature,{5}{R},Red,"At the beginning of combat on your turn, if you've cast a noncreature spell this turn, discover 6. (Exile cards from the top of your library until you exile a nonland card with mana value 6 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",6,6,false,false,,deck,https://cards.scryfall.io/normal/front/0/9/0957b296-c34d-4193-9fe7-a339533ac121.jpg,https://storage.googleapis.com/archidekt-card-images/msc/64307a48-6e47-49b3-bfe0-c9d8d7226650_art_crop.jpg,#101828,
1b5f713f-6ad9-445e-ae4c-56250bb3aecb,Nova Flame,Sorcery,{X}{2}{R}{R},Red,Put X +1/+1 counters on target creature you control. It deals damage equal to its power to each other creature.,,,false,false,,deck,https://cards.scryfall.io/normal/front/1/b/1b5f713f-6ad9-445e-ae4c-56250bb3aecb.jpg,https://storage.googleapis.com/archidekt-card-images/msc/64307a48-6e47-49b3-bfe0-c9d8d7226650_art_crop.jpg,#101828,
7665948b-23d0-4b06-a32a-bfab8009b04f,It's Clobberin' Time!,Sorcery,{2}{G},Green,"Choose one —
• Target creature you control deals damage equal to its power to target creature an opponent controls.
• Destroy target artifact or enchantment.
Rebound",,,false,false,,deck,https://cards.scryfall.io/normal/front/7/6/7665948b-23d0-4b06-a32a-bfab8009b04f.jpg,https://storage.googleapis.com/archidekt-card-images/msc/64307a48-6e47-49b3-bfe0-c9d8d7226650_art_crop.jpg,#101828,
3187ebab-8008-455c-a3c9-794a5b225b88,"Medusa, Inhuman Queen",Creature,{2}{G},Green,"Reach, vigilance
Whenever a player casts a noncreature spell, put a +1/+1 counter on Medusa.",2,2,false,false,,deck,https://cards.scryfall.io/normal/front/3/1/3187ebab-8008-455c-a3c9-794a5b225b88.jpg,https://storage.googleapis.com/archidekt-card-images/msc/64307a48-6e47-49b3-bfe0-c9d8d7226650_art_crop.jpg,#101828,
0d484566-6816-4535-a754-dbda8073ae73,"Black Bolt, Inhuman King",Creature,{2}{W}{U},WhiteBlue,"Flying
Whenever you cast a noncreature spell, Black Bolt gets +2/+2 until end of turn.
Lethal Voice — Whenever Black Bolt becomes the target of a spell or ability an opponent controls, destroy target nonland permanent that player controls.",3,3,false,false,,deck,https://cards.scryfall.io/normal/front/0/d/0d484566-6816-4535-a754-dbda8073ae73.jpg,https://storage.googleapis.com/archidekt-card-images/msc/64307a48-6e47-49b3-bfe0-c9d8d7226650_art_crop.jpg,#101828,
7436364b-5604-44c8-b539-9b7c3221ccdf,Cosmic Crucible,Enchantment,{4}{G}{U},GreenBlue,"At the beginning of your first main phase, add four mana in any combination of colors.
Whenever you cast a noncreature spell, you may copy it. You may choose new targets for the copy. Do this only once each turn. (A copy of a permanent spell becomes a token.)",,,false,false,,deck,https://cards.scryfall.io/normal/front/7/4/7436364b-5604-44c8-b539-9b7c3221ccdf.jpg,https://storage.googleapis.com/archidekt-card-images/msc/64307a48-6e47-49b3-bfe0-c9d8d7226650_art_crop.jpg,#101828,
1e9aec49-08d7-4fc8-87dd-69ab8910688a,"Crystal, Inhuman Princess",Creature,{1}{R}{G},GreenRed,"Flying
Whenever you cast a noncreature spell, Crystal deals X damage to each opponent, where X is the number of colors that spell is.
{T}: Add {R}, {G}, {W}, or {U}.",2,3,false,false,,deck,https://cards.scryfall.io/normal/front/1/e/1e9aec49-08d7-4fc8-87dd-69ab8910688a.jpg,https://storage.googleapis.com/archidekt-card-images/msc/64307a48-6e47-49b3-bfe0-c9d8d7226650_art_crop.jpg,#101828,
6b06f1aa-53f1-49e1-b9f7-e4b489ef7d55,"Namor, Atlantean King",Creature,{1}{W}{U},WhiteBlue,"Flying
Whenever you cast a noncreature spell, create a 1/1 blue Merfolk creature token.
Whenever Namor attacks a player who has more life than you, other creatures you control attacking that player get +2/+0 until end of turn.",2,2,false,false,,deck,https://cards.scryfall.io/normal/front/6/b/6b06f1aa-53f1-49e1-b9f7-e4b489ef7d55.jpg,https://storage.googleapis.com/archidekt-card-images/msc/64307a48-6e47-49b3-bfe0-c9d8d7226650_art_crop.jpg,#101828,
5e2f9f4c-dbdd-4da6-b08f-1f4d3fcb1328,"H.E.R.B.I.E., Lovable Robot",Creature,{2},,"Flying
At the beginning of combat on your turn, if you've cast a noncreature spell this turn, surveil 1.
{T}: Add {C}.
{1}, {T}: Add one mana of any color.",1,1,false,false,,deck,https://cards.scryfall.io/normal/front/5/e/5e2f9f4c-dbdd-4da6-b08f-1f4d3fcb1328.jpg,https://storage.googleapis.com/archidekt-card-images/msc/64307a48-6e47-49b3-bfe0-c9d8d7226650_art_crop.jpg,#101828,
16fa4f17-972b-4a35-8dd6-88ee9b2ea2ce,Negative Zone Portal,Artifact,{2},,"{2}, {T}: Exile target card from an opponent's graveyard. If it's a creature card, draw a card.
At the beginning of your upkeep, if there are four or more creature cards exiled with this artifact, flip a coin. If you lose the flip, sacrifice this artifact and return a card exiled with it at random to its owner's hand.",,,false,false,,deck,https://cards.scryfall.io/normal/front/1/6/16fa4f17-972b-4a35-8dd6-88ee9b2ea2ce.jpg,https://storage.googleapis.com/archidekt-card-images/msc/64307a48-6e47-49b3-bfe0-c9d8d7226650_art_crop.jpg,#101828,
